Price List,,
Type,Item,Price
,Triad Base Guard 10', $9.51 
,"Triad 2"" Face Overhead Door 10""", $36.20 
,Triad Track Cover 10', $27.00 
,"Triad #10 1"" Screws 250", $17.00 
,"Triad #10 1.5"" Screws 250", $19.00 
,"Triad #10 2"" Screws 250", $30.00 
,"Triad #14 1"" Screws 250", $28.00 
,"Triad #14 1.5"" Screws 250", $30.00 
,"Triad #14 2"" Screws 250", $32.00 
,Em seal 20', $22.00 
,flex vent 20', $36.00 
,"Butyl Tape 3/4""x3/32""x50'", $8.00 
,"Profile vent 3""x25'", $30.00 
,"1.625""X65' PRO-TAC JOIST TAPE ", $23.50 
,"12"" Sonotube per foot", $5.05 
,12X12X8 PIER W/ 4X4 BRACKET , $17.67 
,"7/16""X20' #4 LITE BAR", $6.74 
,"1/2""x20' Steel Rebar ", $7.86 
,Gravel per Yd, $22.00 
,GAF Shingles sqft, $1.12 
,GAF Starter 120', $75.84 
,GAF Ridge Cap 20', $73.40 
,Quarrix Ridge Vent 20', $48.52 
,Steel Drip Edge 10', $8.60 
,"4""X4""X14"" STEP FLASHING BLACK ", $2.17 
,, $-   
,,
,,
,, $-   
,,
,,
,, $-   
